"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1759457217198305529","Mon Feb 19 23:55:50 +0000 2024","0","@OposisiCerdas jika sudah selesai dan resmi amin kalah dan Koalisi amin bergabung dengan si pemenang ini pemilu berikutnya jika di berikan umur lebih baik Golput saja","1759728529565192482","","OposisiCerdas","in","Indonesia","0","0","0","https://x.com/Mfajarsultan/status/1759728529565192482","3315470514","Mfajarsultan"
"1758092880433029476","Mon Feb 19 23:52:45 +0000 2024","0","@xbaebearx @arjwaderana Cuma keinget aja ya gw golput soalnya tp waktu itu bukannya dia pernah bilang kalo yg jadi korban ada beberapa yg skrg jadi kenal dan berteman sama dia ya? Maaf gw gtw soalnya gw cuma fokus kebaikan² masing² Paslon.","1759727754445308079","","xbaebearx","in","","0","0","0","https://x.com/mileudibumi/status/1759727754445308079","1470416783773351941","mileudibumi"
"1759058923372564870","Mon Feb 19 23:49:39 +0000 2024","0","@__PASMANTAP Aneh masih mikir ke presiden ya kagak mikir ke legislatif masih si merah juga yg tinggi... Ntar presidennya kalah telak sama legislatifnya krn selama aq jd KPPS banyakan pada golput di legislatif loh... Tambah lagi penjudi online katanya juga masuk","1759726973176471834","","__PASMANTAP","in","tangerang","0","0","0","https://x.com/yukoyusika/status/1759726973176471834","161863104","yukoyusika"
"1759586873541046631","Mon Feb 19 23:47:34 +0000 2024","4","@Elvandino3 @voidotid Udah cape cape perang.. eeh akhirnya gabung juga selatan Utara.. sama kyk pilpres.. udah cape cape bikin poros baru... 01 eeh akhirnya gabung juga ke pemenang... Politik selalu mengorbankan rakyatnya.. sudah bener Golput ye.. ","1759726452176793849","","Elvandino3","in","","0","0","0","https://x.com/guszoomurtadz/status/1759726452176793849","1678166307110522880","guszoomurtadz"
"1759544182287515894","Mon Feb 19 23:47:01 +0000 2024","0","@blantik_pedhet2 Kalo liat dia gak mau ksatria nerima kemungkinan aku golput aja kalau pilpres ulang. 16% an memangnya bisa buktikan kecurangan brp % lagi supaya menang sih ?","1759726313546682748","","blantik_pedhet2","in","Singapore","0","0","0","https://x.com/kalpanyata/status/1759726313546682748","1718177121414361088","kalpanyata"
"1759503469936078856","Mon Feb 19 23:42:06 +0000 2024","0","@gibran_tweet Bro memasak. Tapi inget bro anda calon resmi wakil presiden. Mbok ya diturunkan egonya di publik gaada kharismanya sama sekali. Ga heran pada ngebandingin sama Moh. Hatta. Peace bro saya golput wkak.","1759725075228774553","","gibran_tweet","in","Abbys","0","0","0","https://x.com/yoshifunf/status/1759725075228774553","857016752315580416","yoshifunf"
"1759719169107620220","Mon Feb 19 23:39:52 +0000 2024","1","@Gank_Of_Petojo @JimlyAs Lah? Yang gak terlibat sama pemilu cuma yang golput Prof. Bener gak sih?","1759724510285385904","","Gank_Of_Petojo","in","Planet Bumi","0","1","0","https://x.com/WSulchan/status/1759724510285385904","940883333470355456","WSulchan"
"1759487859164389696","Mon Feb 19 23:34:22 +0000 2024","21","@palingteguh @DokterTifa 2004 : SBY 2009 : SBY 2014 : Golput ( ga ada yg menarik) 2019 : prabowo ( ijtima ulama dulu berharap anies yg nyalon ) 2024 : anies","1759723127997874559","","rahulvenya","in","","0","0","0","https://x.com/afridewi41/status/1759723127997874559","1464365068469088265","afridewi41"
"1759501819318096124","Mon Feb 19 23:33:20 +0000 2024","0","@JessicaNeo4 @JimlyAs Yg golput juga dihitung suaranya","1759722867326173443","","JessicaNeo4","in","Jakarta Pusat","0","0","0","https://x.com/danihamid31/status/1759722867326173443","1398957833551454212","danihamid31"
"1759715619300336104","Mon Feb 19 23:31:02 +0000 2024","0","@grroombble Ada golput dong eh goput dong ","1759722290886107329","","grroombble","in","Jawa Barat, Indonesia","0","1","0","https://x.com/RanggaLupaLagi/status/1759722290886107329","757073100","RanggaLupaLagi"
"1759721110235652507","Mon Feb 19 23:26:21 +0000 2024","3","Gw kalo nyaleg apa lolos? DPRD pasti lolos DPR kemungkinan besar. Pergaulan gw gila. Ada di mana². Jaksel ya melimpah. Banyak yg suka bkn sekedar dikenal. Bukannya gw pamer nih. Keluarga gw besar ribuan orang pada sayang gw. Knp ogah nyaleg? DPD kan bisa? Krn gw golput!","1759721110235652507","","","in","anti-vaxxer sanctuary🌷","0","3","0","https://x.com/densatjo/status/1759721110235652507","70653575","densatjo"
"1759719915580531033","Mon Feb 19 23:21:36 +0000 2024","0","Kalo sampe Hongjoong sama Jyanisuh nyapres aku golput. Gabisa milih","1759719915580531033","","","in","","0","2","0","https://x.com/ieoeelmik/status/1759719915580531033","1075087922636845056","ieoeelmik"
"1759509272109687069","Mon Feb 19 23:14:12 +0000 2024","1","@islah_bahrawi Nyuwun pangapunten njih pak dalem kawulo bingung: menawi njenengan ngungkit2 jejak pelaku pelanggaran HAM 1998 ...lha kok pilpres 2009 ibu ageng nggandeng sang pelaku dados cawapres? Kados pundi meniko? Salam Golput!","1759718053137576330","","islah_bahrawi","in","","0","0","0","https://x.com/KeketSuharyanto/status/1759718053137576330","1474941289078554629","KeketSuharyanto"
"1759572832579985513","Mon Feb 19 23:09:42 +0000 2024","0","@_Dauph1ne_ @gagal_hijrah Hoax aja itu orang dah bubar lagian klo ngomongin anti demokrasi selama ini di pemilu2 juga yg pro golput bnyak juga dr aktivis2 yg jauh dr kelompok2 yg dikatagorikan gerakan islam","1759716920113414384","","_Dauph1ne_","in","buitenzorg","0","0","0","https://x.com/daniairwansyah/status/1759716920113414384","42164529","daniairwansyah"
"1759646522206265696","Mon Feb 19 23:07:23 +0000 2024","1","@geloraco Program sirekap lu ga bener sengaja dibikin begitu. Jumlah suara paslon 01+02+03 +golput=jumlah DPT..","1759716335767126490","","geloraco","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/afi_sus/status/1759716335767126490","1000039829768257536","afi_sus"
"1759374932956635192","Mon Feb 19 22:49:51 +0000 2024","0","@adearmando61 Karena penuh kecurangan dan jaman secanggih ini banyak ngeles salah input. Belum lagi dipersulit pencoblosan padahal kita dilarang golput. Tahun tahun lalu dimanapun bisa coblos tahun ini ribet banget; sengaja ya takut miskin mereka.","1759711925838172329","","adearmando61","in","","0","0","0","https://x.com/kompor_adem/status/1759711925838172329","1579356611658645504","kompor_adem"
"1759178664179310856","Mon Feb 19 16:08:34 +0000 2024","0","@n00tnoot__ @pasisi_ @hyalfay @UGM_FESS lagian aneh golput pun bangga awoakwowk","1759610938624557401","","qawaaaaaaa","in","Close sampe ngantuk","0","1","0","https://x.com/moxly/status/1759610938624557401","787027592","moxly"
"1759178664179310856","Mon Feb 19 16:07:02 +0000 2024","1","@moxly @pasisi_ @hyalfay @UGM_FESS penjilat anies? gua aja golput wkwkwkw. orang ga setuju dengan suatu keputusan apa langsung jadi pendukung paslon lainnya? ckckck dungu","1759610553235054997","","moxly","in","","0","2","0","https://x.com/qawaaaaaaa/status/1759610553235054997","1734465651354603520","qawaaaaaaa"
"1759572832579985513","Mon Feb 19 16:06:45 +0000 2024","6","@kucing_gantenkk @gagal_hijrah mereka Golput biasakan riset sebelum komen ...ketahuan cerdasnya","1759610480237367680","","kucing_gantenkk","in","solo","0","0","0","https://x.com/jbonaporte/status/1759610480237367680","3075405720","jbonaporte"
